"b","unit","day","dentadult","dentinf"
13,"u5",32,413,71
13,"u5",37,118,320
13,"u5",42,59,17
13,"u5",47,36,6
13,"u5",52,37,6
13,"u6",7,11,0
13,"u6",12,38,0
13,"u6",17,170,0
13,"u6",22,201,4
13,"u6",27,248,28
13,"u6",32,126,2
13,"u6",37,28,24
13,"u6",42,6,1
13,"u6",47,7,1
13,"u6",52,9,0
13,"u7",7,2,0
13,"u7",12,18,0
13,"u7",17,32,0
13,"u7",22,125,0
13,"u7",27,110,0
13,"u7",32,280,4
13,"u7",37,71,60
13,"u7",42,62,3
13,"u7",47,10,35
13,"u7",52,6,5
13,"u8",7,10,0
13,"u8",12,21,0
13,"u8",17,40,0
13,"u8",22,103,0
13,"u8",27,117,22
13,"u8",32,64,4
13,"u8",37,50,11
13,"u8",42,17,0
13,"u8",47,19,3
13,"u8",52,13,21
14,"u1",7,7,0
14,"u1",12,30,0
14,"u1",17,45,0
14,"u1",22,77,0
14,"u1",27,188,5
14,"u1",32,46,18
14,"u1",37,32,31
14,"u1",42,13,1
14,"u1",47,9,4
14,"u1",52,20,0
14,"u2",7,11,0
14,"u2",12,26,0
14,"u2",17,172,0
14,"u2",22,491,2
14,"u2",27,365,20
14,"u2",32,90,1
14,"u2",37,28,2
14,"u2",42,35,23
14,"u2",47,8,5
14,"u2",52,19,0
14,"u3",7,5,0
14,"u3",12,14,0
14,"u3",17,61,0
14,"u3",22,129,2
14,"u3",27,105,2
14,"u3",32,118,106
14,"u3",37,55,17
14,"u3",42,9,22
14,"u3",47,25,0
14,"u3",52,17,1
14,"u4",7,7,0
14,"u4",12,12,1
14,"u4",17,22,0
14,"u4",22,107,2
14,"u4",27,205,4
14,"u4",32,108,8
14,"u4",37,51,5
14,"u4",42,57,2
14,"u4",47,5,19
14,"u4",52,8,3
14,"u5",7,5,0
14,"u5",12,21,0
14,"u5",17,28,0
14,"u5",22,38,0
14,"u5",27,138,0
14,"u5",32,55,7
14,"u5",37,84,1
14,"u5",42,99,4
14,"u5",47,62,9
14,"u5",52,22,1
14,"u6",7,5,0
14,"u6",12,35,0
14,"u6",17,67,0
14,"u6",22,101,1
14,"u6",27,144,5
14,"u6",32,106,69
14,"u6",37,25,52
14,"u6",42,34,3
14,"u6",47,40,80
14,"u6",52,47,159
14,"u7",7,7,0
14,"u7",12,14,0
14,"u7",17,31,0
14,"u7",22,83,0
14,"u7",27,312,0
14,"u7",32,303,0
14,"u7",37,278,22
14,"u7",42,133,54
14,"u7",47,31,55
14,"u7",52,35,61
14,"u8",7,8,0
14,"u8",12,23,0
14,"u8",17,52,0
14,"u8",22,113,1
14,"u8",27,203,0
14,"u8",32,267,0
14,"u8",37,115,16
14,"u8",42,59,4
14,"u8",47,4,11
14,"u8",52,3,0
15,"u1",7,3,0
15,"u1",12,9,0
15,"u1",17,13,0
15,"u1",22,29,0
15,"u1",27,32,1
15,"u1",32,63,17
15,"u1",37,42,3
15,"u1",42,27,5
15,"u1",47,39,1
15,"u1",52,46,45
15,"u2",7,13,0
15,"u2",12,28,1
15,"u2",17,44,0
15,"u2",22,77,1
15,"u2",27,141,3
15,"u2",32,296,2
15,"u2",37,152,100
15,"u2",42,112,95
15,"u2",47,71,120
15,"u2",52,58,16
