"b","unit","day","dentadult","lumadult"
12,"u4",27,145,14
12,"u4",32,226,32
12,"u4",37,106,37
12,"u4",42,57,5
12,"u4",47,10,0
12,"u4",52,1,0
12,"u5",7,3,0
12,"u5",12,9,4
12,"u5",17,22,16
12,"u5",22,64,29
12,"u5",27,119,34
12,"u5",32,105,27
12,"u5",37,136,4
12,"u5",42,21,6
12,"u5",47,54,1
12,"u5",52,16,1
12,"u6",7,2,0
12,"u6",12,9,4
12,"u6",17,45,35
12,"u6",22,203,50
12,"u6",27,271,54
12,"u6",32,73,6
12,"u6",37,47,5
12,"u6",42,20,1
12,"u6",47,18,1
12,"u6",52,14,0
12,"u7",7,12,2
12,"u7",12,20,4
12,"u7",17,63,10
12,"u7",22,212,51
12,"u7",27,172,11
12,"u7",32,79,2
12,"u7",37,37,8
12,"u7",42,16,1
12,"u7",47,5,0
12,"u7",52,17,0
12,"u8",7,0,1
12,"u8",12,4,7
12,"u8",17,31,6
12,"u8",22,44,4
12,"u8",27,45,7
12,"u8",32,63,97
12,"u8",37,38,53
12,"u8",42,15,7
12,"u8",47,19,24
12,"u8",52,1,23
12,"u9",7,1,2
12,"u9",12,18,2
12,"u9",17,111,24
12,"u9",22,311,33
12,"u9",27,167,37
12,"u9",32,111,12
12,"u9",37,57,11
12,"u9",42,48,3
12,"u9",47,21,2
12,"u9",52,9,0
13,"u1",7,1,0
13,"u1",12,4,3
13,"u1",17,14,8
13,"u1",22,8,14
13,"u1",27,37,12
13,"u1",32,65,8
13,"u1",37,78,6
13,"u1",42,74,7
13,"u1",47,35,8
13,"u1",52,47,0
13,"u2",7,0,0
13,"u2",12,11,3
13,"u2",17,8,19
13,"u2",22,28,37
13,"u2",27,150,15
13,"u2",32,381,63
13,"u2",37,61,15
13,"u2",42,37,17
13,"u2",47,6,6
13,"u2",52,3,1
13,"u3",7,6,0
13,"u3",12,15,2
13,"u3",17,26,18
13,"u3",22,26,5
13,"u3",27,130,127
13,"u3",32,203,78
13,"u3",37,186,7
13,"u3",42,129,0
13,"u3",47,46,0
13,"u3",52,23,0
13,"u4",7,3,2
13,"u4",12,11,1
13,"u4",17,12,2
13,"u4",22,33,32
13,"u4",27,20,23
13,"u4",32,169,89
13,"u4",37,174,25
13,"u4",42,59,26
13,"u4",47,10,2
13,"u4",52,8,9
13,"u5",7,2,3
13,"u5",12,5,9
13,"u5",17,16,12
13,"u5",22,58,15
13,"u5",27,29,11
13,"u5",32,60,78
13,"u5",37,32,51
13,"u5",42,65,17
13,"u5",47,21,11
13,"u5",52,21,7
13,"u6",7,5,0
13,"u6",12,20,9
13,"u6",17,38,17
13,"u6",22,75,49
13,"u6",27,133,13
13,"u6",32,49,21
13,"u6",37,57,22
13,"u6",42,22,7
13,"u6",47,91,11
13,"u6",52,24,4
13,"u7",7,2,1
13,"u7",12,3,5
13,"u7",17,29,18
13,"u7",22,84,67
13,"u7",27,152,211
13,"u7",32,57,16
13,"u7",37,12,16
13,"u7",42,6,8
13,"u7",47,5,7
13,"u7",52,11,7
13,"u8",7,0,9
13,"u8",12,9,1
13,"u8",17,17,16
13,"u8",22,61,19
13,"u8",27,164,49
