"b","unit","day","dentadult","dentinf","lumadult","luminf"
10,"u2",37,13,4,9,0
10,"u2",42,4,1,2,2
10,"u2",47,8,1,3,0
10,"u2",52,6,0,2,1
10,"u3",7,4,0,1,0
10,"u3",12,27,0,3,0
10,"u3",17,34,0,6,0
10,"u3",22,47,0,15,5
10,"u3",27,40,4,23,4
10,"u3",32,20,16,2,5
10,"u3",37,6,0,5,0
10,"u3",42,5,0,4,4
10,"u3",47,4,2,1,0
10,"u3",52,12,1,0,0
10,"u4",7,4,0,2,0
10,"u4",12,8,0,10,0
10,"u4",17,65,0,31,0
10,"u4",22,190,7,38,4
10,"u4",27,151,12,22,8
10,"u4",32,13,80,23,26
10,"u4",37,4,0,7,7
10,"u4",42,22,7,4,6
10,"u4",47,1,6,7,0
10,"u4",52,6,1,4,0
10,"u5",7,4,0,0,0
10,"u5",12,4,0,5,0
10,"u5",17,43,2,24,0
10,"u5",22,74,0,37,0
10,"u5",27,93,27,44,8
10,"u5",32,43,8,12,7
10,"u5",37,79,11,1,0
10,"u5",42,38,0,3,0
10,"u5",47,13,0,1,1
10,"u5",52,9,6,1,0
10,"u6",7,5,0,2,0
10,"u6",12,2,0,2,0
10,"u6",17,31,0,8,0
10,"u6",22,33,1,6,0
10,"u6",27,37,0,5,0
10,"u6",32,36,7,26,5
10,"u6",37,54,4,8,3
10,"u6",42,25,5,3,6
10,"u6",47,33,1,4,0
10,"u6",52,24,3,3,2
10,"u7",7,8,0,2,0
10,"u7",12,58,0,1,0
10,"u7",17,37,5,8,0
10,"u7",22,47,12,13,4
10,"u7",27,100,29,6,5
10,"u7",32,8,0,3,10
10,"u7",37,4,4,0,2
10,"u7",42,2,3,0,1
10,"u7",47,0,1,1,1
10,"u7",52,0,0,0,0
10,"u8",7,6,0,2,0
10,"u8",12,31,0,5,0
10,"u8",17,29,1,8,1
10,"u8",22,34,7,31,1
10,"u8",27,47,10,25,2
10,"u8",32,20,1,3,3
10,"u8",37,7,8,0,1
10,"u8",42,7,5,0,4
10,"u8",47,2,0,0,0
10,"u8",52,0,0,0,0
11,"u1",7,4,0,3,0
11,"u1",12,10,0,9,0
11,"u1",17,31,0,26,0
11,"u1",22,77,1,33,1
11,"u1",27,65,4,31,0
11,"u1",32,75,0,33,0
11,"u1",37,39,31,22,10
11,"u1",42,12,8,26,2
11,"u1",47,11,14,18,0
11,"u1",52,21,6,6,1
11,"u2",7,6,0,1,0
11,"u2",12,7,0,8,0
11,"u2",17,53,1,33,1
11,"u2",22,28,10,100,11
11,"u2",27,78,9,15,23
11,"u2",32,33,5,20,74
11,"u2",37,4,6,24,27
11,"u2",42,4,1,37,11
11,"u2",47,1,3,7,32
11,"u2",52,1,0,2,9
11,"u3",7,8,0,2,0
11,"u3",12,21,1,8,1
11,"u3",17,112,8,32,1
11,"u3",22,22,3,101,30
11,"u3",27,30,41,119,103
11,"u3",32,5,5,24,4
11,"u3",37,2,12,21,35
11,"u3",42,0,1,3,8
11,"u3",47,0,0,0,2
11,"u3",52,0,0,1,3
11,"u4",7,5,0,1,0
11,"u4",12,11,0,2,0
11,"u4",17,58,1,18,0
11,"u4",22,56,8,44,1
11,"u4",27,58,17,32,9
11,"u4",32,64,6,14,28
11,"u4",37,9,49,5,1
11,"u4",42,11,3,9,0
11,"u4",47,1,0,3,0
11,"u4",52,2,2,3,12
11,"u5",7,7,0,1,0
11,"u5",12,2,0,9,1
11,"u5",17,23,0,8,2
11,"u5",22,10,6,34,3
11,"u5",27,18,3,66,9
11,"u5",32,11,1,20,0
11,"u5",37,5,4,2,32
11,"u5",42,2,0,1,5
11,"u5",47,0,0,0,1
11,"u5",52,0,0,0,0
11,"u6",7,6,0,1,0
11,"u6",12,24,0,7,0
11,"u6",17,106,0,48,5
11,"u6",22,56,2,129,29
11,"u6",27,43,35,14,20
11,"u6",32,41,57,2,6
11,"u6",37,6,10,1,0
11,"u6",42,1,1,0,1
11,"u6",47,2,0,0,0
11,"u6",52,5,0,0,0
11,"u7",7,4,0,0,0
11,"u7",12,15,0,6,0
